Company,Employees,Investment,Success_Rate,Failure_Rate,Survival_Rate
BlueWave Systems,337,13076322,25.72,74.28,31.72
CoreTech,612,42333144,86.86,13.14,95.86
BlueWave Systems,596,12470992,37.59,62.41,42.59
NextGen Solutions,963,35166563,82.64,17.36,89.64
NextGen Solutions,398,30144413,62.16,37.84,72.16
FutureSoft,394,5009770,20.0,80.0,26.0
PrimeLogic,777,4632134,29.26,70.74,39.26
SmartByte,366,31221008,58.81,41.19,68.81
CloudCore,929,7826539,37.61,62.39,45.61
Fusion Labs,241,3884067,20.0,80.0,31.0
PixelWorks,363,34534437,57.69,42.31,64.69
